date,open,high,low,close,volume
2026-03-16,4.615,4.7,4.55,4.68,39344346.361
2026-03-17,4.72,4.815,4.63,4.65,28585407.33168
2026-03-18,4.58,4.735,4.56,4.62,29590893.053474
2026-03-19,4.55,4.64,4.5,4.56,30862157.895667
2026-03-20,4.55,4.58,4.42,4.48,32799032.996247
2026-03-23,4.5,4.6,4.46,4.51,31799307.89794
2026-03-24,4.49,4.49,4.31,4.36,35646606.82685
2026-03-25,4.45,4.56,4.41,4.49,35102758.615567
2026-03-26,4.4196,4.495,3.9,4.01,104488749.952974
2026-03-27,3.94,3.97,3.81,3.93,51014061.091704
2026-03-30,3.94,4.145,3.89,4.02,87662632.71353
2026-03-31,4.08,4.64,4.05,4.6,119236970.716567
2026-04-01,4.62,4.92,4.605,4.9,77491894.201544
2026-04-02,4.74,4.8599,4.55,4.63,62470649.21236
2026-04-06,4.64,4.85,4.57,4.71,52168584.304645
2026-04-07,4.72,4.87,4.64,4.8,44448502.752527
2026-04-08,5.025,5.08,4.71,4.73,60098146.304906
2026-04-09,4.71,4.96,4.62,4.95,57721143.82584
2026-04-10,5.035,5.16,4.74,4.82,52405373.43415
2026-04-13,4.76,5.16,4.76,5.15,54105818.261729
2026-04-14,5.24,5.64,5.2207,5.6,84852624.93354
2026-04-15,6.05,6.15,5.83,6.04,153321293.646047
2026-04-16,6.13,6.21,5.935,6.02,78804700.800888
2026-04-17,6.15,6.21,5.95,6.03,64356287.249425
2026-04-20,5.98,6.05,5.81,6.0,47457563.007375
2026-04-21,5.965,6.0,5.605,5.64,58973614.078806
2026-04-22,5.73,5.94,5.7,5.84,32960256.168769
2026-04-23,5.77,5.8,5.455,5.57,46459999.545376
2026-04-24,5.59,5.69,5.48,5.65,32743694.89546
2026-04-27,5.78,6.195,5.755,6.06,53121827.866211
2026-04-28,6.0,6.14,5.93,5.95,31773616.614392
2026-04-29,5.9,6.0299,5.81,5.98,30209113.48848
2026-04-30,6.02,6.1,5.88,6.07,34214640.340844
2026-05-01,6.2,6.34,6.1,6.29,35456946.175368
2026-05-04,6.24,6.3,6.125,6.17,35756136.971009
2026-05-05,6.33,6.355,6.06,6.11,52138211.581494
2026-05-06,6.2,6.22,6.01,6.11,75434205.815538
2026-05-07,5.67,6.285,5.59,5.98,89579591.002767
2026-05-08,5.91,6.09,5.71,6.08,40082028.700223
2026-05-11,6.0,6.095,5.65,5.75,46562532.883614
2026-05-12,5.7,5.7483,5.435,5.55,44663448.363079
2026-05-13,5.49,5.68,5.31,5.61,41460331.158958
2026-05-14,5.46,5.52,5.18,5.36,56667911.530719
2026-05-15,5.33,5.63,5.26,5.53,38028867.073243
2026-05-18,5.52,5.71,5.455,5.67,45028129.044361
2026-05-19,5.67,5.7725,5.48,5.55,31837854.350954
2026-05-20,5.5,5.6451,5.36,5.62,25728252.45147
2026-05-21,5.54,5.89,5.49,5.69,31406675.36224
2026-05-22,5.72,5.84,5.65,5.72,21693939.193015
2026-05-26,5.66,5.835,5.63,5.75,25833679.585265
2026-05-27,5.74,5.92,5.74,5.88,27345926.030885
2026-05-28,5.87,5.95,5.74,5.91,25521485.931343
2026-05-29,5.92,5.945,5.69,5.71,101982040.318628
2026-06-01,5.79,5.99,5.79,5.86,41561071.036533
2026-06-02,5.77,5.84,5.6501,5.76,39813265.735029
2026-06-03,5.69,5.76,5.58,5.73,33364582.943379
2026-06-04,5.785,6.19,5.76,6.07,60188653.456493
2026-06-05,6.08,6.18,5.74,5.76,36650384.985829
2026-06-08,5.79,5.79,5.49,5.65,42011389.614844
2026-06-09,5.67,5.775,5.2701,5.59,41311463.662039
2026-06-10,5.49,5.52,5.31,5.38,33813763.176328
2026-06-11,5.32,5.34,5.11,5.33,32331811.769693
2026-06-12,5.37,5.42,5.16,5.26,32795627.990612
2026-06-15,5.39,5.74,5.38,5.71,47146337.474782
2026-06-16,5.72,5.9399,5.1,5.16,102121766.865156
2026-06-17,5.07,5.07,4.7,4.74,71924388.707408
2026-06-18,4.71,4.8,4.63,4.66,60953766.220532
2026-06-22,4.6,4.81,4.52,4.63,48534242.247574
2026-06-23,4.53,4.65,4.42,4.46,46289458.854689
2026-06-24,4.44,4.57,4.345,4.53,42896241.443845
2026-06-25,4.5,4.51,4.28,4.34,45241241.958482
2026-06-26,4.32,4.43,4.27,4.41,42021431.516718
2026-06-29,4.53,4.55,4.37,4.42,63331609.229312
2026-06-30,4.4,4.4799,4.35,4.44,37264382.180451
2026-07-01,4.52,4.83,4.505,4.75,50441380.621192
2026-07-02,4.74,4.87,4.74,4.84,37376861.896078
2026-07-06,4.82,4.875,4.71,4.75,29609087.071295
2026-07-07,4.78,4.81,4.605,4.65,36865814.757124
2026-07-08,4.59,4.65,4.51,4.63,30912229.743776
2026-07-09,4.565,4.7,4.5,4.7,26239026.431185
2026-07-10,4.77,4.87,4.64,4.68,28281877.331873
