date,open,high,low,close,volume
2026-02-02,4.88,5.07,4.85,4.96,4724843.0
2026-02-03,5.0,5.185,4.932,5.16,5522868.0
2026-02-04,5.28,5.51,5.205,5.22,6802182.0
2026-02-05,5.15,5.22,4.865,4.94,6221241.0
2026-02-06,5.01,5.305,5.01,5.29,5801708.0
2026-02-09,5.3,5.36,5.145,5.28,3463967.0
2026-02-10,5.28,5.345,5.17,5.2,3052893.0
2026-02-11,5.2,5.37,5.145,5.27,5228580.0
2026-02-12,5.31,5.4,5.02,5.12,5440556.0
2026-02-13,5.25,5.26,5.0,5.04,4161303.0
2026-02-17,5.03,5.065,4.88,4.92,3994207.0
2026-02-18,5.02,5.32,4.99,5.3,5744378.0
2026-02-19,5.1,5.12,4.515,4.68,14572093.0
2026-02-20,4.65,4.76,4.44,4.665,7865646.0
2026-02-23,4.59,4.59,4.29,4.43,7732290.249333
2026-02-24,4.43,4.53,4.375,4.44,4976719.31089
2026-02-25,4.46,4.54,4.31,4.42,7853014.415947
2026-02-26,4.23,4.59,4.2,4.5,11792467.94789
2026-02-27,4.42,4.67,4.35,4.54,9434547.088332
2026-03-02,4.25,4.59,4.21,4.33,7447431.167314
2026-03-03,4.21,4.39,4.16,4.34,4465559.418774
2026-03-04,4.36,4.48,4.26,4.34,5113286.485148
2026-03-05,4.3,4.45,4.2,4.3,4598986.823981
2026-03-06,4.15,4.21,4.06,4.12,6555546.274912
2026-03-09,4.0,4.17,3.89,4.16,7905346.21664
2026-03-10,4.15,4.155,4.0,4.01,3550984.359386
2026-03-11,4.04,4.16,3.995,4.12,3305504.731885
2026-03-12,4.04,4.11,3.865,3.89,5498649.818664
2026-03-13,3.94,3.99,3.82,3.89,4048310.075519
2026-03-16,3.95,4.03,3.93,3.97,4638733.879272
2026-03-17,4.0,4.29,4.0,4.21,4890902.41299
2026-03-18,4.25,4.375,4.14,4.18,9422978.333851
2026-03-19,4.14,4.22,3.775,3.98,8282507.264246
2026-03-20,3.93,4.01,3.85,3.95,5809723.684071
2026-03-23,4.01,4.28,3.99,4.13,5004815.4765
2026-03-24,4.115,4.3,4.08,4.24,4101696.399908
2026-03-25,4.35,4.38,4.205,4.37,4599365.829648
2026-03-26,4.34,5.085,4.2601,4.77,19172585.847038
2026-03-27,4.44,4.74,4.43,4.6,6514062.72242
2026-03-30,4.53,4.65,4.41,4.48,6060889.213703
2026-03-31,4.55,4.73,4.41,4.61,7499081.142458
2026-04-01,4.68,5.2,4.58,5.18,10915319.54025
2026-04-02,5.05,5.19,4.91,5.11,8124179.95062
2026-04-06,5.01,5.32,5.0001,5.31,6293085.429393
2026-04-07,5.3,5.96,5.28,5.88,24464467.134475
2026-04-08,6.05,6.26,5.84,5.97,16012302.950621
2026-04-09,5.97,6.69,5.96,6.57,16936802.732817
2026-04-10,6.611,6.76,6.01,6.32,16312402.610133
2026-04-13,6.21,6.735,6.06,6.61,12394854.790248
2026-04-14,6.61,7.12,6.42,6.99,13709361.205726
2026-04-15,6.84,6.88,6.22,6.56,16972762.00123
2026-04-16,6.46,7.18,6.28,6.98,15501872.235463
2026-04-17,6.89,7.755,6.67,7.43,22175688.512239
2026-04-20,7.42,8.18,7.38,7.81,27579923.106004
2026-04-21,7.92,7.94,6.91,7.17,35354989.398213
2026-04-22,7.275,7.6,6.435,6.6,20645483.186102
2026-04-23,6.42,6.49,5.655,5.9,16629526.635129
2026-04-24,5.91,5.965,5.62,5.71,11024285.896986
2026-04-27,5.705,5.8662,5.55,5.59,10597854.09099
2026-04-28,5.54,5.76,5.53,5.75,7041438.735874
2026-04-29,5.435,5.72,5.37,5.6,10028292.366115
2026-04-30,6.47,7.04,6.16,6.36,43377892.528314
2026-05-01,6.25,6.35,5.84,6.14,13416597.974839
2026-05-04,6.19,6.35,5.78,5.81,7172508.951426
2026-05-05,5.768,6.31,5.75,6.09,6875336.257375
2026-05-06,6.195,6.58,6.17,6.48,8158295.909404
2026-05-07,6.16,6.5183,5.685,6.17,13447971.595462
2026-05-08,6.19,6.41,6.02,6.05,6854776.754923
2026-05-11,5.955,6.46,5.9,6.19,10333634.044476
2026-05-12,6.17,6.205,5.705,5.75,9194393.808446
2026-05-13,5.67,6.12,5.62,5.9,9364375.767976
2026-05-14,5.88,6.05,5.82,5.83,5312907.511734
2026-05-15,5.61,5.7,5.5037,5.53,6330787.554061
2026-05-18,5.5,5.5699,5.075,5.2,8516855.065144
2026-05-19,5.21,5.2699,4.905,4.93,8823760.379945
2026-05-20,4.98,5.05,4.86,4.88,7053634.353399
2026-05-21,4.88,5.19,4.8,5.06,5467419.00673
2026-05-22,5.08,5.405,5.08,5.3,5652061.599923
2026-05-26,5.44,5.7,5.19,5.23,7449154.088839
2026-05-27,5.23,5.425,5.135,5.26,8746270.658922
2026-05-28,5.25,5.63,5.15,5.49,6134656.515789
2026-05-29,5.47,5.54,5.381,5.4,6480064.166221
2026-06-01,5.28,5.35,5.11,5.17,5681537.05012
2026-06-02,5.11,5.245,5.06,5.21,5899688.771464
2026-06-03,5.13,5.215,5.0229,5.16,3701216.840528
2026-06-04,5.16,5.295,5.08,5.1,4144331.730202
2026-06-05,5.05,5.2407,5.03,5.09,4424428.71748
2026-06-08,5.15,5.38,5.06,5.08,7084815.30594
2026-06-09,5.135,5.42,5.11,5.29,8105704.935237
2026-06-10,5.19,5.261,4.93,4.98,5406198.851029
2026-06-11,5.0,5.095,4.915,5.04,3806928.830123
2026-06-12,5.12,5.1599,4.995,5.13,4175183.908196
2026-06-15,5.26,5.335,5.1032,5.13,5684761.848421
2026-06-16,5.12,5.21,4.98,4.99,5313381.588427
2026-06-17,5.0,5.0,4.75,4.83,6523076.10007
2026-06-18,4.87,5.06,4.86,5.05,8064664.818761
2026-06-22,5.02,5.19,4.995,5.14,3900043.262682
2026-06-23,5.02,5.24,5.015,5.06,4876728.227596
2026-06-24,3.96,3.98,2.95,3.0,99810608.797562
2026-06-25,2.91,2.9398,2.5101,2.68,92865331.045942
2026-06-26,2.65,2.7279,2.57,2.64,37048029.159029
2026-06-29,2.7,2.7,2.2601,2.3,57655710.719408
2026-06-30,2.33,2.35,2.14,2.265,43565233.925273
2026-07-01,2.24,2.3,2.13,2.2,42842288.489102
2026-07-02,2.2,2.26,2.09,2.12,28157283.087301
2026-07-06,2.2,2.24,2.025,2.05,20228472.276248
2026-07-07,2.065,2.24,2.05,2.1,23732297.819522
2026-07-08,2.06,2.06,1.93,1.97,26218825.328786
2026-07-09,2.0,2.19,1.96,2.17,39200911.193362
2026-07-10,2.17,2.195,2.03,2.05,13587465.806119
2026-07-13,2.045,2.0599,1.83,1.83,26667755.724577
2026-07-14,1.84,1.88,1.75,1.84,16458753.013664
2026-07-15,1.86,1.9799,1.835,1.9,12844512.94882
2026-07-16,1.9,1.965,1.84,1.87,11046239.355071
2026-07-17,1.86,1.9,1.755,1.8,18012513.034163
2026-07-20,1.8,1.81,1.735,1.76,18499678.218203
2026-07-21,1.77,1.86,1.705,1.85,13143043.671418
2026-07-22,1.86,2.05,1.85,1.93,18320270.59895
2026-07-23,1.9,2.035,1.88,1.905,17779120.715061
2026-07-24,1.9,1.9,1.78,1.81,12128732.274952
2026-07-27,1.8,2.02,1.8,2.0,18129441.051356
2026-07-28,1.89,2.03,1.76,1.765,19553374.17504
2026-07-29,1.76,1.76,1.56,1.67,25144259.026477
2026-07-30,1.7,1.71,1.63,1.655,9013112.611692
2026-07-31,1.67,1.68,1.55,1.585,23904907.551839
2026-08-03,1.56,1.5865,1.48,1.53,26101482.506262
2026-08-04,1.58,1.585,1.49,1.51,40072023.647428
2026-08-05,1.5,1.57,1.45,1.56,26595306.055298
2026-08-06,1.82,2.19,1.63,2.02,155819099.348051
2026-08-07,2.44,2.49,2.13,2.27,227238203.338036
2026-08-10,2.15,2.58,2.04,2.12,74572979.322432
2026-08-11,2.105,2.74,2.1,2.45,116162975.77695
2026-08-12,2.475,2.855,2.38,2.8,79484360.142483
2026-08-13,2.68,2.945,2.2701,2.345,116801756.290761
2026-08-14,2.44,2.465,2.21,2.24,37214285.366807
