date,open,high,low,close,volume
2026-03-10,124.21,126.0988,123.35,125.12,18793641.584119
2026-03-11,125.305,125.49,123.05,123.49,18176459.887481
2026-03-12,122.295,125.39,122.28,125.33,21751580.532189
2026-03-13,125.39,126.685,124.97,126.52,15194094.992218
2026-03-16,126.76,126.98,124.83,125.99,20463183.544374
2026-03-17,126.65,127.19,124.8601,125.08,19895029.758656
2026-03-18,124.333,124.6099,121.83,121.98,19734864.325487
2026-03-19,122.4,122.75,119.27,121.09,17927685.606635
2026-03-20,120.63,121.3,118.02,119.02,57545642.637774
2026-03-23,120.48,121.13,119.045,120.72,22181469.346018
2026-03-24,120.625,124.11,120.49,122.05,17269594.672713
2026-03-25,122.81,123.485,121.7784,123.06,16597269.345744
2026-03-26,123.61,123.8,121.79,122.18,16442510.122692
2026-03-27,122.03,124.27,121.82,122.89,16543336.17082
2026-03-30,123.71,125.26,123.14,123.5,20428908.19663
2026-03-31,123.43,125.0,122.84,124.28,21330350.155262
2026-04-01,123.8,125.23,123.13,124.74,17039653.63378
2026-04-02,125.15,125.9,124.15,125.79,11898351.960111
2026-04-06,125.81,126.98,125.37,126.79,10850380.443893
2026-04-07,126.19,126.36,121.79,122.49,16076013.120616
2026-04-08,122.28,127.3,121.33,127.26,20194264.449339
2026-04-09,127.085,129.69,126.82,129.13,13853072.398832
2026-04-10,128.715,128.928,126.22,126.77,13893956.959832
2026-04-13,126.29,126.3,123.95,124.57,14510625.493938
2026-04-14,123.15,125.2,122.545,125.05,15320783.867661
2026-04-15,124.63,125.07,123.1799,124.76,17001399.086737
2026-04-16,124.33,125.94,123.965,124.82,18324542.299207
2026-04-17,124.57,127.57,123.37,127.5,24763651.994924
2026-04-20,127.87,129.47,127.32,127.92,18933585.22421
2026-04-21,127.83,129.77,127.48,129.6,17312386.525914
2026-04-22,130.0,130.4499,128.84,129.98,17624490.16372
2026-04-23,130.57,132.46,130.49,132.03,16375999.526439
2026-04-24,131.94,132.12,129.2812,129.92,16016319.296032
2026-04-27,129.615,129.81,127.395,127.59,17029468.199462
2026-04-28,129.34,129.77,126.78,127.59,16341768.425171
2026-04-29,126.68,128.08,125.91,128.01,16538798.704284
2026-04-30,128.02,132.43,127.95,131.93,19867700.387752
2026-05-01,131.915,133.37,130.98,131.6,10480869.792821
2026-05-04,130.41,131.75,129.68,130.33,10340667.284884
2026-05-05,130.51,131.73,130.3,130.79,10637307.061851
2026-05-06,130.86,131.15,129.53,130.08,16371545.092947
2026-05-07,129.895,130.6,128.665,130.2,14935414.820057
2026-05-08,130.315,131.41,130.25,130.43,15183657.619038
2026-05-11,130.18,130.6,126.38,127.59,18699179.827416
2026-05-12,128.075,131.12,127.72,130.35,17935358.464872
2026-05-13,129.19,132.53,128.77,131.47,13786552.946116
2026-05-14,131.355,132.78,130.86,132.46,14200408.532364
2026-05-15,133.69,133.95,130.785,131.45,25322971.25222
2026-05-18,131.52,133.47,131.125,133.34,17183216.20551
2026-05-19,132.94,135.155,132.06,134.2,16957144.591992
2026-05-20,132.905,133.65,130.33,130.85,28471632.935832
2026-05-21,124.408,125.8,120.39,121.34,53006570.741163
2026-05-22,121.34,121.95,118.91,120.27,30330576.531795
2026-05-26,120.685,121.05,117.92,118.57,28796647.256283
2026-05-27,118.33,119.4299,118.04,118.54,22062232.854146
2026-05-28,118.96,119.17,117.33,118.9,21613085.231639
2026-05-29,118.11,119.08,114.71,115.75,42190998.822822
2026-06-01,114.725,115.98,113.56,114.6,26176225.114301
2026-06-02,113.87,114.5694,112.73,113.06,27366401.79939
2026-06-03,113.1,117.29,112.96,116.89,32880555.03171
2026-06-04,119.895,119.938,117.285,117.74,22870427.458445
2026-06-05,118.35,120.89,118.1,118.88,36638136.847355
2026-06-08,118.245,120.18,118.15,119.83,19514137.744124
2026-06-09,120.38,120.5,118.0,118.88,23958996.389138
2026-06-10,119.71,120.8192,117.53,120.59,22414871.999827
2026-06-11,120.57,121.86,119.46,120.5,22438028.100925
2026-06-12,120.59,121.61,119.53,121.04,14770841.393796
2026-06-15,119.74,121.49,118.58,120.82,20722462.99033
2026-06-16,121.14,122.94,119.88,121.03,23060729.241775
2026-06-17,119.58,121.01,117.45,118.13,21711069.647475
2026-06-18,118.2,118.48,116.795,117.18,36526766.503423
2026-06-22,116.955,118.4,116.945,117.18,17053911.634849
2026-06-23,119.71,120.25,116.34,119.42,23411423.601075
2026-06-24,119.56,120.4,118.93,119.0,20600078.600747
2026-06-25,117.47,118.58,115.38,115.78,20404638.795959
2026-06-26,117.29,117.88,115.09,115.69,36635971.428286
2026-06-29,116.47,116.8,114.2,114.6,20366986.524038
2026-06-30,113.97,114.61,112.93,113.26,23033999.563866
2026-07-01,110.13,110.71,107.25,108.82,40391394.116318
2026-07-02,109.33,112.45,109.16,111.84,29526234.989829
2026-07-06,111.4,112.37,109.37,110.65,29523272.86858
2026-07-07,112.968,113.5,111.3,111.54,19941406.360188
