date,open,high,low,close,volume
2026-02-23,24.85,26.32,24.64,26.06,7322900.454175
2026-02-24,25.65,27.89,25.57,27.8,5729578.505709
2026-02-25,28.26,28.445,27.64,27.71,5968909.254369
2026-02-26,27.36,28.09,27.06,28.03,6635199.365868
2026-02-27,28.04,28.53,27.71,28.33,11566291.784031
2026-03-02,27.48,27.68,25.88,26.74,12034060.104255
2026-03-03,25.04,25.34,23.66,24.94,5874026.46035
2026-03-04,25.68,25.68,24.725,24.8,4438252.318178
2026-03-05,24.0,24.33,22.6,23.04,6995929.692772
2026-03-06,22.44,22.86,21.8941,22.29,3772592.065504
2026-03-09,21.41,22.55,20.5155,22.5,7303349.282434
2026-03-10,22.95,23.415,22.62,23.03,4827940.031403
2026-03-11,22.62,22.93,22.055,22.51,4021710.99971
2026-03-12,22.42,22.42,21.63,21.85,3418626.975961
2026-03-13,21.825,21.825,20.58,20.73,5816329.574044
2026-03-16,21.21,21.36,20.545,21.14,4788607.105777
2026-03-17,21.23,21.39,20.865,21.21,2887711.402536
2026-03-18,20.7,20.76,19.79,19.88,5983184.196417
2026-03-19,18.89,18.9,17.503,18.65,10897593.683458
2026-03-20,18.32,18.77,17.795,18.08,5560086.618102
2026-03-23,18.475,19.055,18.27,18.85,6474217.083188
2026-03-24,18.27,19.02,18.065,18.95,5170579.192453
2026-03-25,19.98,20.37,19.65,20.02,6362762.635734
2026-03-26,19.53,19.8,18.765,18.82,5086915.467977
2026-03-27,18.74,19.665,18.595,19.48,5526084.41446
2026-03-30,20.0,20.04,18.82,19.05,4793903.145763
2026-03-31,19.6,21.07,19.555,20.9,6951490.510972
2026-04-01,21.67,22.255,21.35,22.0,6927654.215795
2026-04-02,20.58,21.735,20.58,21.64,5740755.316922
2026-04-06,21.63,21.94,21.34,21.74,3980390.101569
2026-04-07,21.74,21.88,21.125,21.84,5708045.078168
2026-04-08,23.765,24.41,23.4,23.78,7606347.618869
2026-04-09,23.56,24.14,23.135,23.47,4630283.294336
2026-04-10,23.99,24.42,23.9,24.33,4163352.385348
2026-04-13,23.89,24.62,23.63,24.41,3667054.227618
2026-04-14,25.0,25.425,24.79,25.22,4294876.413982
2026-04-15,25.025,25.525,24.59,24.88,4277650.834079
2026-04-16,24.95,25.23,24.58,24.92,3109305.902677
2026-04-17,25.71,26.395,25.3,25.88,5752405.00467
2026-04-20,25.31,26.02,25.13,25.67,5087265.32395
2026-04-21,25.48,25.59,23.725,23.85,7099609.64915
2026-04-22,24.6,24.7699,24.12,24.69,4401695.729115
2026-04-23,24.21,25.247,23.22,24.02,6030761.592717
2026-04-24,24.32,24.36,23.77,24.35,4011642.255861
2026-04-27,24.4,24.59,23.85,24.41,3531812.90248
2026-04-28,23.8,23.92,22.58,22.98,4544785.742678
2026-04-29,22.85,22.89,22.205,22.46,3972745.878264
2026-04-30,23.23,23.49,22.515,23.11,4523347.969469
2026-05-01,23.98,24.28,22.8,22.8,6099904.420102
2026-05-04,22.3,22.81,21.74,21.77,5428638.153388
2026-05-05,22.65,22.93,22.22,22.35,8087963.542466
2026-05-06,23.76,24.685,23.6,24.0,5127804.216081
2026-05-07,24.53,24.89,23.75,23.85,4724989.897428
2026-05-08,24.65,25.185,24.37,25.02,3890298.228606
2026-05-11,25.435,26.345,25.32,25.5,4796763.89621
2026-05-12,25.15,27.275,24.93,27.12,10198551.749684
2026-05-13,27.41,28.42,27.02,27.74,9195481.720206
2026-05-14,27.6,27.61,26.6556,27.29,5700996.713193
2026-05-15,25.75,25.79,24.735,24.95,6598765.682225
2026-05-18,25.15,25.28,24.03,24.26,3793433.801558
2026-05-19,23.95,24.29,23.15,23.96,4767072.336064
2026-05-20,24.36,24.74,23.795,24.49,5229267.747465
2026-05-21,23.96,25.23,23.83,24.74,4124810.953546
2026-05-22,25.0,25.13,24.055,24.39,3159175.581102
2026-05-26,26.0,26.595,25.51,26.55,5961387.798132
2026-05-27,25.9,26.99,25.78,26.59,7324452.886845
2026-05-28,26.29,28.65,26.18,28.23,8907781.525214
2026-05-29,28.13,29.27,27.75,29.16,5324701.95577
2026-06-01,29.2,30.9,28.765,30.59,8900838.418926
2026-06-02,31.055,32.15,30.72,31.87,6890493.836038
2026-06-03,31.49,31.49,30.0999,30.33,6073614.678843
2026-06-04,29.875,30.4,29.61,30.12,4902943.069187
2026-06-05,28.36,28.67,25.595,25.66,10245521.017874
2026-06-08,26.385,26.58,25.8701,26.11,4634452.96752
2026-06-09,26.67,26.79,24.13,25.59,7060531.177063
2026-06-10,24.97,25.73,24.63,24.68,8558933.347657
2026-06-11,25.33,26.665,24.8,26.64,5977170.824551
2026-06-12,26.8,28.105,26.62,27.82,6400004.520352
2026-06-15,29.105,30.02,28.52,28.75,6805765.689271
2026-06-16,28.82,29.395,28.465,29.1,3583943.669645
2026-06-17,29.49,29.945,28.1,28.17,5318908.313242
2026-06-18,28.5,28.65,27.229,27.59,3653593.849141
